"Game","ReleaseDate","Genre","TotalEarnings","OfflineEarnings","PercentOffline","TotalPlayers","TotalTournaments"
"Persona 4 Arena Ultimax",2013,"Fighting Game",21138.16,21138.16,1,69,22
"Pocket Bravery",2022,"Fighting Game",452.35,452.35,1,3,1
"Pocket Rumble",2016,"Fighting Game",185,0,0,5,2
"Pokkén Tournament",2016,"Fighting Game",77216.66,76971.66,0.996827109590081,65,26
"Pokkén Tournament DX",2017,"Fighting Game",22125.4,21914,0.990445370479178,44,28
"Power Instinct: Matrimelee",2002,"Fighting Game",90,0,0,5,2
"Power Rangers: Battle for the Grid",2019,"Fighting Game",6946.8,3286.2,0.473052340646053,27,13
"Power Rangers: Legacy Wars",2017,"Fighting Game",4178.55,4178.55,1,2,1
"Project Justice",2000,"Fighting Game",165,165,1,3,1
"Project M",2010,"Fighting Game",205292.09,205292.09,1,560,335
"Project Plus",2019,"Fighting Game",195,0,0,6,2
"Punch Planet",2017,"Fighting Game",400,0,0,6,2
"Red Earth",1996,"Fighting Game",100,0,0,3,1
"Rising Thunder",2015,"Fighting Game",1000,1000,1,3,1
"Rivals of Aether",2015,"Fighting Game",41314.85,38783.23,0.938723727666929,63,24
"Roof Rage",2019,"Fighting Game",50,0,0,3,1
"Rushdown Revolt",2021,"Fighting Game",4160.09,0,0,31,18
"Sailor Moon S",1995,"Fighting Game",3281.19,3271.19,0.996952325223471,20,12
"Samurai Shodown (2019)",2019,"Fighting Game",79368.31,79243.31,0.99842506410934,77,22
"Samurai Shodown III",1995,"Fighting Game",70,0,0,5,2
"Samurai Shodown V Special",2004,"Fighting Game",590.57,490.11,0.82989315407149,15,5
"Schwarzerblitz",2020,"Fighting Game",200,0,0,5,2
"Sekiro: Shadows Die Twice",2019,"Fighting Game",19596,0,0,20,1
"Shovel Knight Showdown",2019,"Fighting Game",60,60,1,3,1
"Shrek SuperSlam",2005,"Fighting Game",80,0,0,4,2
"Skullgirls",2012,"Fighting Game",300,300,1,3,1
"Skullgirls 2nd Encore",2015,"Fighting Game",84813.02,51251,0.604282219876146,84,29
"Skullgirls Encore",2014,"Fighting Game",9155.4,9155.4,1,37,13
"Slap City",2018,"Fighting Game",600,0,0,5,2
"SLAYERS FOR HIRE",2020,"Fighting Game",600,0,0,8,2
"Smash Remix",2019,"Fighting Game",299.06,0,0,4,1
"SNK Heroines: Tag Team Frenzy",2018,"Fighting Game",430,430,1,3,1
"Soul Calibur II",2003,"Fighting Game",4980,4980,1,17,8
"Soul Calibur II HD Online",2013,"Fighting Game",945.41,945.41,1,29,5
"Soul Calibur IV",2008,"Fighting Game",260,260,1,3,2
"Soul Calibur V",2012,"Fighting Game",62928.54,62928.54,1,76,28
"Soul Calibur VI",2018,"Fighting Game",177627.27,159953.28,0.900499568562868,128,72
"Stick Fight the Game",2017,"Fighting Game",700,0,0,5,2
"Street Fighter 6",2023,"Fighting Game",5179896.65,4800868.03,0.926826991808804,393,120
"Street Fighter Alpha 2",1996,"Fighting Game",3324.69,2210,0.664723628368359,26,12
"Street Fighter Alpha 3",1998,"Fighting Game",340,340,1,16,5
"Street Fighter EX2 Plus",1999,"Fighting Game",350,350,1,5,2
"Street Fighter III: 3rd Strike",1999,"Fighting Game",113008.54,111311.32,0.984981489009592,179,57
"Street Fighter IV",2009,"Fighting Game",15110.82,15110.82,1,43,13
"Street Fighter V",2016,"Fighting Game",2334386.94,2285886.94,0.97922366717833,281,131
"Street Fighter V: Arcade Edition",2018,"Fighting Game",2267283.95,2266433.95,0.999625102096277,244,105
"Street Fighter V: Champion Edition",2020,"Fighting Game",1248126.27,707643.81,0.566964919342656,264,154
"Street Fighter X Tekken",2012,"Fighting Game",105990.64,98129.34,0.925830243123355,134,95
"Super Smash Bros.",1999,"Fighting Game",79820.05,79680.05,0.998246054719334,242,131
"Super Smash Bros. Brawl",2008,"Fighting Game",248100.83,248100.83,1,509,348
"Super Smash Bros. for Wii U",2014,"Fighting Game",1517451.47,1512816.47,0.996945536584442,1284,1036
"Super Smash Bros. Melee",2001,"Fighting Game",4221849.29,4040278.51,0.956992595536256,2012,2746
"Super Smash Bros. Ultimate",2018,"Fighting Game",2929881.74,2424346.86,0.827455534092649,2419,1757
"Super Street Fighter II Turbo",1994,"Fighting Game",28227.29,28227.29,1,126,55
"Super Street Fighter II Turbo HD Remix",2008,"Fighting Game",22160,22160,1,55,9
"Super Street Fighter IV",2010,"Fighting Game",30229.3,20877.3,0.690631274955093,43,18
"Super Street Fighter IV Arcade Edition",2010,"Fighting Game",391186.67,391186.67,1,195,209
"Tatsunoko vs. Capcom: Ultimate All-Stars",2010,"Fighting Game",2771.76,1330.81,0.480131757439316,16,16
"Teenage Mutant Ninja Turtles: Tournament Fighters",1993,"Fighting Game",820,820,1,7,2
"Tekken 4",2001,"Fighting Game",12500,12500,1,4,4
"Tekken 5",2004,"Fighting Game",10250,10250,1,10,9
"Tekken 5: Dark Resurrection",2006,"Fighting Game",12180,12180,1,18,5
"Tekken 6",2007,"Fighting Game",122743.68,122743.68,1,64,30
"Tekken 7",2015,"Fighting Game",3911820.6,3648598.41,0.932711078314788,634,426
"Tekken 8",2024,"Fighting Game",1506651.86,1474502.77,0.978661898708305,208,40
"Tekken Tag Tournament",1999,"Fighting Game",0,0,NA,7,4
"Tekken Tag Tournament 2",2011,"Fighting Game",118501.3,118501.3,1,151,140
"The Last Blade 2",1998,"Fighting Game",60,0,0,4,2
"The Unspoken",2018,"Fighting Game",38824.08,38824.08,1,7,4
"Them's Fightin' Herds",2018,"Fighting Game",7218.19,3170,0.439168267945288,30,30
"Toribash",2006,"Fighting Game",100,0,0,3,1
"Tough Love Arena",2021,"Fighting Game",100,0,0,3,1
"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe",2009,"Fighting Game",4501.52,220,0.0488723808846789,18,6
"TowerFall: Ascension",2013,"Fighting Game",0,0,NA,0,0
"Ultimate Marvel vs. Capcom 3",2011,"Fighting Game",186685.27,184557.92,0.988604617814785,223,198
"Ultimate Mortal Kombat 3",1995,"Fighting Game",150,150,1,6,2
"Ultra Fight Da! Kyanta 2",2019,"Fighting Game",320,320,1,3,1
"Ultra Street Fighter IV",2014,"Fighting Game",818394.62,818354.62,0.99995112382337,242,233
"Umineko: Golden Fantasia",2010,"Fighting Game",190,90,0.473684210526316,9,3
"Under Night In-Birth EXE: Late",2014,"Fighting Game",6025.76,6025.76,1,52,23
"Under Night In-Birth EXE: Late[cl-r]",2020,"Fighting Game",10362.01,9732.25,0.939224146666525,40,10
"Under Night In-Birth EXE: Late[st]",2015,"Fighting Game",54583.33,54583.33,1,109,40
"Under Night In-Birth II [Sys:Celes]",2024,"Fighting Game",76510.86,76510.86,1,66,15
"Vampire Savior",1997,"Fighting Game",19072.38,17925.17,0.939849667424831,44,25
"Virtua Fighter 4: Evolution",2002,"Fighting Game",0,0,NA,6,3
"Virtua Fighter 5",2007,"Fighting Game",39830,39830,1,14,7
"Virtua Fighter 5 Final Showdown",2010,"Fighting Game",573.77,573.77,1,28,6
"Virtua Fighter 5: Ultimate Showdown",2021,"Fighting Game",17070,16070,0.941417691857059,22,4
"Windjammers 2",2022,"Fighting Game",1056.07,1056.07,1,3,56
"WWE 2K20",2019,"Fighting Game",50000,0,0,20,2
"Asphalt 4",2008,"Racing",29500,29500,1,5,2
"Asphalt 9: Legends",2018,"Racing",51520,51520,1,5,2
"Assetto Corsa",2014,"Racing",979920.9,671703.55,0.685467112702668,302,131
"Assetto Corsa Competizione",2018,"Racing",561404.09,340767.5,0.606991480949132,511,64
"Dirt Rally 2.0",2019,"Racing",30000,10000,0.333333333333333,9,4
"Epic Roller Coasters VR",2018,"Racing",1000,0,0,3,1
"F1 2018",2018,"Racing",2e+05,2e+05,1,21,1
"F1 2019",2019,"Racing",538047.38,538047.38,1,25,2
"F1 2020",2020,"Racing",752235,0,0,42,3
"F1 2021",2021,"Racing",765939,0,0,35,4
"F1 22",2022,"Racing",750324,0,0,25,2
"Forza Horizon 5",2021,"Racing",25000,500,0.02,24,11
"Forza Motorsport (2023)",2023,"Racing",59750,4950,0.0828451882845188,93,5
"Forza Motorsport 2",2007,"Racing",222000,222000,1,17,2
"Forza Motorsport 3",2009,"Racing",11000,11000,1,3,2
"Forza Motorsport 4",2011,"Racing",132.37,132.37,1,2,1
"Forza Motorsport 6",2015,"Racing",172600,170200,0.986095017381228,43,9
"Forza Motorsport 7",2017,"Racing",842700,616200,0.7312210751157,140,13
"Gran Turismo 3: A-Spec",2001,"Racing",3250,3250,1,4,2
"Gran Turismo 4",2004,"Racing",44000,44000,1,5,2
"Gran Turismo Sport",2017,"Racing",61522.56,27511,0.447169298546744,126,25
"GRID (2019)",2019,"Racing",218.75,218.75,1,3,1
"Hot Lap League",2021,"Racing",0,0,NA,0,0
"iRacing.com",2008,"Racing",3757336.03,939017.1,0.249915656332713,1302,189
"Jak 3",2004,"Racing",0,0,NA,0,0
"Jak and Daxter: The Precursur Legacy",2001,"Racing",500,0,0,4,1
"Jak II",2003,"Racing",0,0,NA,14,1
"KartRider",2004,"Racing",567366.35,567366.35,1,76,20
"Live for Speed",2003,"Racing",11833.14,9219.14,0.779094982396895,24,10
"Mad Skills Motocross 2",2017,"Racing",80163,80163,1,23,3
"Marbles on Stream",2018,"Racing",0,0,NA,0,0
"Mario Kart 8 Deluxe",2017,"Racing",14654.44,5004.44,0.34149650208401,55,10
"NASCAR Heat 4",2019,"Racing",200500,0,0,34,5
"Nascar Heat 5",2020,"Racing",6125,2500,0.408163265306122,20,2
"NASCAR Thunder 2002",2001,"Racing",7679.25,7679.25,1,0,1
"NASCAR Thunder 2003",2002,"Racing",5933.5,5933.5,1,0,1
"Need for Speed Carbon",2006,"Racing",36322.58,36322.58,1,12,4
"Need for Speed: Most Wanted",2005,"Racing",35694.54,35694.54,1,18,7
"Need for Speed: ProStreet",2007,"Racing",32208.46,32208.46,1,12,3
"Need for Speed: Shift",2009,"Racing",10500,10500,1,3,1
"Need for Speed: Underground",2003,"Racing",35000,35000,1,3,1
"Need for Speed: Underground 2",2004,"Racing",35629.48,35629.48,1,8,3
"Project Cars",2015,"Racing",68955.21,10602.71,0.153762275540891,53,127
"Project Cars 2",2017,"Racing",66150,58150,0.879062736205593,37,22
"Project Gotham Racing 2",2003,"Racing",35000,35000,1,4,2
"Project Gotham Racing 3",2005,"Racing",297286.85,297286.85,1,33,10
"Project Gotham Racing 4",2007,"Racing",25208.46,25208.46,1,5,4
"RaceRoom Racing Experience",2013,"Racing",279172.5,82583.7,0.295816027724794,168,28
"Rennsport",2022,"Racing",2131805.52,2104686.02,0.987278623802419,65,9
"rFactor",2005,"Racing",15083.56,0,0,51,4
"rFactor 2",2013,"Racing",2219963.12,1452396.94,0.654243724553406,557,103
"Speedrunners",2016,"Racing",150,0,0,5,2
"Sprint Vector",2018,"Racing",11750,11750,1,8,1
"Trackmania (2020)",2020,"Racing",870387.31,315006.92,0.361915800449802,830,796
"TrackMania 2: Canyon",2011,"Racing",24093.35,18553.65,0.770073485007274,26,39
"TrackMania 2: Stadium",2013,"Racing",200563.87,109371.91,0.545322096148225,345,286
"Trackmania 2: Valley",2013,"Racing",779.34,779.34,1,6,2
"TrackMania Nations",2006,"Racing",112883.55,68474.97,0.60659830418161,43,18
"TrackMania Nations Forever",2008,"Racing",197927.78,169688.91,0.857327404975694,143,86
"Trackmania Turbo",2016,"Racing",679.41,0,0,6,2
"Trackmania United",2006,"Racing",1027.5,1027.5,1,3,1
"Trackmania United Forever",2008,"Racing",4603.55,0,0,25,2
"Trials Fusion",2014,"Racing",0,0,NA,0,0
"Turbo Racing League",2013,"Racing",1e+06,5e+05,0.5,16,9
"Void Racer",2020,"Racing",460,0,0,4,1
"WRC 10 FIA World Rally Championship",2021,"Racing",25250,25250,1,1,1
"Carom 3D",1999,"Sports",60500,60500,1,11,4
"Dream league Soccer",2019,"Sports",0,0,NA,0,0
"EA Sports FC 24",2023,"Sports",7356431.34,6950011.98,0.944753190614296,348,76
"EA Sports FC Online",2023,"Sports",713675.79,639284.99,0.89576387339691,96,11
"Echo Arena",2017,"Sports",193732.32,169362.32,0.874207876104514,126,22
"eFootball",2021,"Sports",492000,25000,0.0508130081300813,62,14
"Eleven Table Tennis",2016,"Sports",0,0,NA,0,0
"FIFA 03",2002,"Sports",54066.44,54066.44,1,10,3
"FIFA 04",2003,"Sports",40000,40000,1,3,3
"FIFA 05",2004,"Sports",57728.01,57728.01,1,5,8
"FIFA 06",2005,"Sports",112464.53,112464.53,1,23,12
"FIFA 07",2006,"Sports",238312.23,238312.23,1,43,14
"FIFA 08",2007,"Sports",207129.94,207129.94,1,68,17
"FIFA 09",2008,"Sports",121618.34,115321.42,0.948223927410948,52,19
"FIFA 10",2009,"Sports",117026.71,90147.21,0.77031311911614,64,48
"FIFA 11",2010,"Sports",93983.77,85154.02,0.906050268040961,72,78
"FIFA 12",2011,"Sports",57931.52,50779.42,0.876542165646612,59,67
"FIFA 13",2012,"Sports",458427.82,448195.59,0.977679735928766,53,62
"FIFA 14",2013,"Sports",96347.81,87377.48,0.906896378859052,57,69
"FIFA 15",2014,"Sports",144373.99,116439.15,0.806510577147587,167,352
"FIFA 16",2015,"Sports",118401.61,117457.44,0.992025699650537,62,29
"FIFA 17",2016,"Sports",1487809.08,1487809.08,1,135,49
"FIFA 18",2017,"Sports",2233697.69,2221267.08,0.994434963130575,235,48
"FIFA 19",2018,"Sports",3287686.79,3210843.28,0.976626876308981,331,53
"FIFA 20",2019,"Sports",2598643.56,1141158.77,0.439136320026899,363,67
"FIFA 2000",1999,"Sports",50000,50000,1,4,1
"FIFA 2001",2000,"Sports",46000,46000,1,9,2
"FIFA 2002 World Cup",2002,"Sports",43000,43000,1,8,1
"FIFA 21",2020,"Sports",4733259.11,1530671.04,0.323386276649452,417,61
"FIFA 22",2021,"Sports",4575674.03,3371614.78,0.736856418943812,422,75
"FIFA 23",2022,"Sports",6197022.16,5097419.77,0.822559551731537,527,99
"FIFA Online 3",2012,"Sports",1937542.85,1937542.85,1,124,25
"FIFA Online 4",2018,"Sports",4087518.33,2479725.66,0.606657991427282,427,67
"GOALS",2025,"Sports",1841.26,0,0,4,1
"GOLF Plus",2020,"Sports",5000,5000,1,4,1
"Golf With Your Friends",2016,"Sports",19400,0,0,11,2
"Gran Turismo 7",2022,"Sports",21242.85,0,0,13,4
"Gym Masters VR",2021,"Sports",500,0,0,4,1
"Just Hoops",2021,"Sports",0,0,NA,0,0
"Madden NFL 06",2005,"Sports",1e+05,1e+05,1,1,1
"Madden NFL 07",2006,"Sports",1e+05,1e+05,1,1,1
"Madden NFL 08",2007,"Sports",1e+05,1e+05,1,1,1
"Madden NFL 09",2008,"Sports",1e+05,1e+05,1,1,1
"Madden NFL 13",2012,"Sports",4e+05,4e+05,1,8,1
"Madden NFL 16",2015,"Sports",50000,50000,1,8,1
"Madden NFL 17",2016,"Sports",1004000,1004000,1,42,5
"Madden NFL 18",2017,"Sports",423676.62,20676.62,0.0488028345769941,40,3
"Madden NFL 19",2018,"Sports",1269992,1269992,1,45,5
"Madden NFL 20",2019,"Sports",923000,703000,0.761646803900325,38,2
"Madden NFL 2004",2003,"Sports",1500,1500,1,3,1
"Madden NFL 21",2020,"Sports",1280000,330000,0.2578125,66,6
"Madden NFL 22",2021,"Sports",1650000,1e+06,0.606060606060606,37,4
"Madden NFL 23",2022,"Sports",1700000,1260000,0.741176470588235,37,4
"Madden NFL 24",2023,"Sports",1700000,1700000,1,86,6
"Madden NFL 25",2024,"Sports",1e+05,1e+05,1,8,1
"Mario Tennis Aces",2018,"Sports",61.3,0,0,6,2
"NBA 2K Online",2012,"Sports",0,0,NA,0,0
"NBA 2K Online 2",2018,"Sports",0,0,NA,0,0
"NBA 2K18",2017,"Sports",1e+06,1e+06,1,91,4
"NBA 2K19",2018,"Sports",1330000,1330000,1,78,4
"NBA 2K20",2019,"Sports",250000,0,0,1,1
"NBA 2K21",2020,"Sports",1330501,1080000,0.811724305355652,64,3
"NBA 2K22",2021,"Sports",2650000,2150000,0.811320754716981,92,7
"NBA 2K23",2022,"Sports",2925000,2425000,0.829059829059829,105,9
"NHL '94",1993,"Sports",3818.56,3818.56,1,16,8
"NHL 12",2011,"Sports",702.93,702.93,1,6,2
"NHL 13",2012,"Sports",70000,70000,1,1,1
"NHL 14",2013,"Sports",3023.96,3023.96,1,6,3
"NHL 15",2014,"Sports",3157.16,3157.16,1,3,3
"NHL 17",2016,"Sports",0,0,NA,0,0
"NHL 18",2017,"Sports",102700,90000,0.876338851022395,20,6
"NHL 19",2018,"Sports",22566.67,19566.67,0.867060580936399,10,8
"NHL 23",2022,"Sports",105250,105250,1,12,4
"Nock",2022,"Sports",4050,0,0,12,2
"Pro Evolution Soccer 2008",2007,"Sports",2084.15,2084.15,1,6,3
"Pro Evolution Soccer 2009",2008,"Sports",1395.97,0,0,5,2
"Pro Evolution Soccer 2013",2012,"Sports",0,0,NA,0,0
"Pro Evolution Soccer 2014",2013,"Sports",29410.25,29410.25,1,4,1
"Pro Evolution Soccer 2015",2014,"Sports",26544.76,26544.76,1,3,1
"Pro Evolution Soccer 2016",2015,"Sports",27243.84,27243.84,1,17,6
"Pro Evolution Soccer 2017",2016,"Sports",514697.71,514697.71,1,39,16
"Pro Evolution Soccer 2018",2017,"Sports",250000,250000,1,20,3
"Pro Evolution Soccer 2019",2019,"Sports",216000,216000,1,25,2
"Pro Evolution Soccer 3",2003,"Sports",25000,25000,1,8,2
"Pro Evolution Soccer 4",2004,"Sports",40550.64,40550.64,1,11,2
"Pro Evolution Soccer 5",2005,"Sports",32000,32000,1,4,1
"Pro Evolution Soccer 6",2006,"Sports",20216.82,20216.82,1,5,2
"Racket: NX",2018,"Sports",500,0,0,3,1
"Ragnaröck",2021,"Sports",0,0,NA,0,0
"Rezzil Player",2021,"Sports",61650,0,0,19,12
"Rocket League",2015,"Sports",42262497.19,17816799.61,0.421574700848859,6884,4542
"Rocket League Sideswipe",2021,"Sports",63500,0,0,32,4
"Roller Champions",2022,"Sports",8538.95,105,0.0122965938435053,60,19
"Slapshot Rebound",2020,"Sports",638.27,0,0,23,5
"Soccer Stars",2018,"Sports",0,0,NA,0,0
"SuperPlayer",2022,"Sports",1000,0,0,3,1
"Walkabout Mini Golf",2021,"Sports",2000,0,0,7,2
"Zwift",2015,"Sports",65370.76,0,0,10,7
"Artifact Classic",2018,"Collectible Card Game",120567.26,11635.81,0.0965088698208784,286,192
"Artifact Foundry",2020,"Collectible Card Game",1174.5,0,0,21,12
"Faeria",2017,"Collectible Card Game",4100,0,0,12,5
"Gwent",2016,"Collectible Card Game",1505197.17,755591.17,0.501988168101592,344,122
"Hand of the Gods",2017,"Collectible Card Game",94434.2,72500,0.767730334984571,48,36
"Hearthstone",2014,"Collectible Card Game",30708754.65,18315099.29,0.596412961018593,3147,1162
"Hearthstone Battlegrounds",2019,"Collectible Card Game",1755579.53,399565.43,0.227597453246678,271,51
"KARDS, The World War II Card Game",2019,"Collectible Card Game",0,0,NA,0,0
"Legends of Runeterra",2020,"Collectible Card Game",718091.03,0,0,284,33
"Magic: The Gathering Arena",2018,"Collectible Card Game",9194000,4434000,0.482271046334566,336,60
"Magic: The Gathering Online",2002,"Collectible Card Game",1818000,1218000,0.66996699669967,173,16
"Mythgard",2019,"Collectible Card Game",3000,0,0,9,3
"Pokémon TCG",1996,"Collectible Card Game",0,0,NA,0,0
"Shadowverse",2016,"Collectible Card Game",5508473.29,5373673.29,0.975528609670357,248,44
"Shardbound",2017,"Collectible Card Game",0,0,NA,0,0
"The Elder Scrolls: Legends",2017,"Collectible Card Game",5000,5000,1,3,1
"Yu-Gi-Oh! Duel Links",2016,"Collectible Card Game",48746.72,0,0,328,219
"Catherine",2011,"Puzzle Game",1545,1470,0.951456310679612,11,7
"Catherine: Full Body",2019,"Puzzle Game",185,185,1,3,1
"Cultris II",2011,"Puzzle Game",190.95,0,0,3,1
"Jstris",2014,"Puzzle Game",275,0,0,12,2
"Magical Drop III",1997,"Puzzle Game",130,130,1,3,1
"Microsoft Excel",1985,"Puzzle Game",114400,65500,0.572552447552448,86,43
"Pac-man",1981,"Puzzle Game",0,0,NA,0,0
"Panel Attack",2020,"Puzzle Game",140,0,0,5,2
"Puyo Puyo Champions",2019,"Puzzle Game",2482.3,2071.8,0.834629174555856,14,5
"Puyo Puyo Tetris",2014,"Puzzle Game",3422.84,1617.75,0.472633836229564,31,16
"Puyo Puyo Tetris 2",2020,"Puzzle Game",1897.64,1787.47,0.941943677409835,14,3
"Tetr.io",2020,"Puzzle Game",18698.3,5134.63,0.274604108394881,39,18
"Tetris",1989,"Puzzle Game",308794.74,126896.27,0.410940516668127,180,122
"Tetris Effect: Connected",2020,"Puzzle Game",11529.88,2653.37,0.230129888602483,35,11
"Tetris Ultimate",2014,"Puzzle Game",221,221,1,3,1
"Twinkle Star Sprites",1996,"Puzzle Game",150,0,0,4,2
"Wise Star 2",2008,"Puzzle Game",12000,12000,1,3,1
"Apex Legends",2019,"Battle Royale",26153237.01,13376299.25,0.511458648307489,2317,731
"Apex Legends Mobile",2022,"Battle Royale",0,0,NA,0,0
"Ark: Survival Of The Fittest",2017,"Battle Royale",0,0,NA,0,0
"Fall Guys",2020,"Battle Royale",340273.83,0,0,250,7
"Farlight 84",2023,"Battle Royale",0,0,NA,0,0
"Fortnite",2017,"Battle Royale",191012698.69,56299884.57,0.294744197407371,9535,2291
"Free Fire",2017,"Battle Royale",18141992.14,13917001.42,0.767115392433413,1706,95
"H1Z1",2016,"Battle Royale",2067122,2067122,1,119,13
"Penguin Paradise",2022,"Battle Royale",0,0,NA,0,0
"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile",2017,"Battle Royale",87322954.82,60665002.37,0.694719990809399,4263,341
"PLAYERUNKNOWN’S BATTLEGROUNDS",2017,"Battle Royale",64200450.19,49370328.97,0.769002846925364,3967,631
"Radical Heights",2018,"Battle Royale",120000,0,0,12,2
"Ring of Elysium",2018,"Battle Royale",70000,0,0,9,4
"Rocket Arena",2020,"Battle Royale",1e+05,0,0,24,3
"Rules Of Survival",2017,"Battle Royale",656000,476000,0.725609756097561,0,4
"Spellbreak",2020,"Battle Royale",50000,0,0,42,1
"Super People",2022,"Battle Royale",144526,0,0,95,11
"Gears 5",2019,"Third-Person Shooter",2320920,680000,0.292987263671303,163,112
"Gears of War",2006,"Third-Person Shooter",252195.57,252195.57,1,33,18
"Gears of War 2",2008,"Third-Person Shooter",135000,135000,1,0,5
"Gears of War 3",2011,"Third-Person Shooter",7255.81,4555.81,0.627884412629327,13,4
"Gears of War 4",2016,"Third-Person Shooter",3142785,3055000,0.972067767919218,155,152
"Gears of War: Ultimate Edition",2015,"Third-Person Shooter",170000,170000,1,39,3
"Knockout City",2021,"Third-Person Shooter",0,0,NA,0,0
"Mobile Suit Gundam: Extreme Vs Maxi Boost ON",2016,"Third-Person Shooter",420,320,0.761904761904762,12,2
"PARAVOX",2024,"Third-Person Shooter",0,0,NA,0,0
"Rogue Company",2020,"Third-Person Shooter",50000,0,0,48,2
"The Division 2",2019,"Third-Person Shooter",27250,0,0,40,2
"Audio Trip",2020,"Music / Rhythm Game",650,0,0,4,2
"Beat Saber",2019,"Music / Rhythm Game",16692.06,0,0,63,11
"Groove Gunner",2020,"Music / Rhythm Game",0,0,NA,0,0
"Guitar Hero 5",2009,"Music / Rhythm Game",10500,10500,1,3,1
"Guitar Hero III: Legends of Rock",2007,"Music / Rhythm Game",19000,19000,1,8,2
"Guitar Hero: World Tour",2008,"Music / Rhythm Game",0,0,NA,0,0
"Just Dance 2014",2013,"Music / Rhythm Game",0,0,NA,3,1
"osu!",2007,"Music / Rhythm Game",274092.83,32667.89,0.119185496388213,1059,251
"Synth Riders",2018,"Music / Rhythm Game",2100,600,0.285714285714286,11,7
